Book,Author,Achievement,Active Dates,Source,Link,Cover,Season
Assembly,Natasha   Brown,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/56646330,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1615497305i/56646330.jpg,Fall 2025
Minor Detail,Adania Shibli,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/52974301,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1698586415i/52974301.jpg,Fall 2025
Open Throat,Henry Hoke,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/62039259,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1667852289i/62039259.jpg,Fall 2025
The Gurkha and the Lord of Tuesday,Saad Z. Hossain,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/43521119,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1549482803i/43521119.jpg,Fall 2025
A Minor Chorus,Billy-Ray Belcourt,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/60165417,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1660366396i/60165417.jpg,Fall 2025
The Cemetery of Untold Stories,Julia Alvarez,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/195820829,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1693339977i/195820829.jpg,Fall 2025
Orbital,Samantha Harvey,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/123136728,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1682375874i/123136728.jpg,Fall 2025
Theory & Practice,Michelle de Kretser,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/213619983,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1720033033i/213619983.jpg,Fall 2025
You Dreamed of Empires,Álvaro Enrigue,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/127938747,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1681140619i/127938747.jpg,Fall 2025
I Who Have Never Known Men,Jacqueline Harpman,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/60811826,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1649947133i/60811826.jpg,Fall 2025
